FNDDS code,FNDDS description,Species,FL Score,Weighted_Risk_Total,Weighted_Risk_Total_NOFEED,Notes
26101110,"Anchovy, cooked, NS as to cooking method",Anchovy,"Pelagic, average (excluding tuna)",996,996,
26101180,"Anchovy, canned",Anchovy,"Pelagic, canned (excluding tuna)",1567,1567,
27150210,Fish sauce,Anchovy,"Pelagic, canned (excluding tuna)",1567,1567,Fish sauce is typically made with fermented anchovies
26105120,"Carp, baked or broiled, fat added in cooking",Carp,"Freshwater, average (excluding tilapia)",751,737,
26105140,"Carp, coated, fried",Carp,"Freshwater, average (excluding tilapia)",751,737,
26105160,"Carp, steamed or poached",Carp,"Freshwater, average (excluding tilapia)",751,737,
26107121,"Catfish, baked or broiled, made with butter",Catfish,"Demersal, average",1306,1306,
26107120,"Catfish, baked or broiled, made with oil",Catfish,"Demersal, average",1306,1306,
26107123,"Catfish, baked or broiled, made without fat",Catfish,"Demersal, average",1306,1306,
26107123,"Catfish, baked or broiled, no added fat",Catfish,"Demersal, average",1306,1306,
26107131,"Catfish, coated, baked or broiled, made with butter",Catfish,"Demersal, average",1306,1306,
26107130,"Catfish, coated, baked or broiled, made with oil",Catfish,"Demersal, average",1306,1306,
26107133,"Catfish, coated, baked or broiled, made without fat",Catfish,"Demersal, average",1306,1306,
26107144,"Catfish, coated, fried, made with cooking spray",Catfish,"Demersal, average",1306,1306,
26107140,"Catfish, coated, fried, made with oil",Catfish,"Demersal, average",1306,1306,
26107143,"Catfish, coated, fried, made without fat",Catfish,"Demersal, average",1306,1306,
26107143,"Catfish, coated, fried, no added fat",Catfish,"Demersal, average",1306,1306,
26107110,"Catfish, cooked, NS as to cooking method",Catfish,"Demersal, average",1306,1306,
26107160,"Catfish, steamed or poached",Catfish,"Demersal, average",1306,1306,
28350220,"Clam chowder, Manhattan",Clams,"Molluscs, average",2043,2012,
28350210,"Clam chowder, NS as to Manhattan or New England style",Clams,"Molluscs, average",2043,2012,
28355110,"Clam chowder, New England, NS as to prepared with water or milk",Clams,"Molluscs, average",2043,2012,
28355120,"Clam chowder, New England, prepared with milk",Clams,"Molluscs, average",2043,2012,
