diet,sim,value,rank
PHD_total_FL,baseline,0.545997376786813,1
VEG_total_FL,baseline,0.567823119238849,2
CURRENT_total_FL,baseline,0.610269697559267,3
HUS_total_FL,baseline,0.772848185705018,4
MED_total_FL,baseline,0.8238907656823,5
PHD_total_FL,max_added_sugar,0.579961330063687,1
VEG_total_FL,max_added_sugar,0.6106204393962,2
CURRENT_total_FL,max_added_sugar,0.697392925184831,3
HUS_total_FL,max_added_sugar,0.813933613056075,4
MED_total_FL,max_added_sugar,0.864976193033356,5
PHD_total_FL,max_dairy_tot,0.826286557137316,1
CURRENT_total_FL,max_dairy_tot,0.899557737890862,2
VEG_total_FL,max_dairy_tot,1.19426943732222,3
MED_total_FL,max_dairy_tot,1.24152164440455,4
HUS_total_FL,max_dairy_tot,1.39929450378839,5
PHD_total_FL,max_fruit_exc_juice,0.988347179459005,1
CURRENT_total_FL,max_fruit_exc_juice,1.00224679004408,2
VEG_total_FL,max_fruit_exc_juice,1.42498571699967,3
HUS_total_FL,max_fruit_exc_juice,1.63001078346583,4
MED_total_FL,max_fruit_exc_juice,1.89256101743604,5
PHD_total_FL,max_fruit_juice,0.661578661103138,1
CURRENT_total_FL,max_fruit_juice,0.766360032224951,2
VEG_total_FL,max_fruit_juice,0.908257177584839,3
HUS_total_FL,max_fruit_juice,1.11328224405101,4
MED_total_FL,max_fruit_juice,1.2531337088142,5
PHD_total_FL,max_gr_refined,0.545997376786813,1
VEG_total_FL,max_gr_refined,0.744271883368303,2
CURRENT_total_FL,max_gr_refined,0.919111509374144,3
HUS_total_FL,max_gr_refined,0.949296949834472,4
MED_total_FL,max_gr_refined,1.00033952981175,5
CURRENT_total_FL,max_gr_whole,0.684259896968703,1
VEG_total_FL,max_gr_whole,0.859668770743807,2
HUS_total_FL,max_gr_whole,1.0230016012807,3
MED_total_FL,max_gr_whole,1.07404418125798,4
PHD_total_FL,max_gr_whole,1.1923545628829,5
PHD_total_FL,max_leg_tot,0.59171407053533,1
VEG_total_FL,max_leg_tot,0.603188927639395,2
CURRENT_total_FL,max_leg_tot,0.617375358933761,3
HUS_total_FL,max_leg_tot,0.784427026889538,4
MED_total_FL,max_leg_tot,0.83546960686682,5
VEG_total_FL,max_oil,0.818469221936821,1
PHD_total_FL,max_oil,0.843059424428854,2
CURRENT_total_FL,max_oil,0.866283196748308,3
HUS_total_FL,max_oil,1.02349428840299,4
MED_total_FL,max_oil,1.07453686838027,5
PHD_total_FL,max_pf_egg,0.557770649583243,1
VEG_total_FL,max_pf_egg,0.592081236264459,2
CURRENT_total_FL,max_pf_egg,0.644036545543038,3
HUS_total_FL,max_pf_egg,0.800017276773701,4
MED_total_FL,max_pf_egg,0.851059856750983,5
CURRENT_total_FL,max_pf_ns,0.790384554578029,1
VEG_total_FL,max_pf_ns,0.808722141835037,2
HUS_total_FL,max_pf_ns,0.924614569940617,3
MED_total_FL,max_pf_ns,0.975657149917898,4
PHD_total_FL,max_pf_ns,1.18839477037665,5
PHD_total_FL,max_pf_poultry_tot,0.546479351740972,1
VEG_total_FL,max_pf_poultry_tot,0.567823119238849,2
CURRENT_total_FL,max_pf_poultry_tot,0.611372859285639,3
HUS_total_FL,max_pf_poultry_tot,0.773727789996358,4
MED_total_FL,max_pf_poultry_tot,0.82477036997364,5
PHD_total_FL,max_pf_redm_tot,0.554360223800171,1
VEG_total_FL,max_pf_redm_tot,0.567823119238849,2
CURRENT_total_FL,max_pf_redm_tot,0.661419280171383,3
HUS_total_FL,max_pf_redm_tot,0.813818669242782,4
MED_total_FL,max_pf_redm_tot,0.864861249220064,5
VEG_total_FL,max_pf_seafood,0.567823119238849,1
PHD_total_FL,max_pf_seafood,0.711124602081352,2
